emotion,pixels,Usage
2,imagesFer/85.png,Training
4,imagesFer/86.png,Training
4,imagesFer/87.png,Training
5,imagesFer/88.png,Training
4,imagesFer/89.png,Training
0,imagesFer/90.png,Training
0,imagesFer/91.png,Training
6,imagesFer/92.png,Training
0,imagesFer/93.png,Training
6,imagesFer/94.png,Training
2,imagesFer/95.png,Training
2,imagesFer/96.png,Training
3,imagesFer/97.png,Training
4,imagesFer/98.png,Training
3,imagesFer/99.png,Training
3,imagesFer/100.png,Training
2,imagesFer/101.png,Training
6,imagesFer/102.png,Training
3,imagesFer/103.png,Training
4,imagesFer/104.png,Training
3,imagesFer/105.png,Training
2,imagesFer/106.png,Training
0,imagesFer/107.png,Training
2,imagesFer/108.png,Training
3,imagesFer/109.png,Training
2,imagesFer/110.png,Training
3,imagesFer/111.png,Training
6,imagesFer/112.png,Training
6,imagesFer/113.png,Training
3,imagesFer/114.png,Training
4,imagesFer/115.png,Training
4,imagesFer/116.png,Training
0,imagesFer/117.png,Training
3,imagesFer/118.png,Training
3,imagesFer/119.png,Training
0,imagesFer/120.png,Training
2,imagesFer/121.png,Training
0,imagesFer/122.png,Training
0,imagesFer/123.png,Training
3,imagesFer/124.png,Training
3,imagesFer/125.png,Training
0,imagesFer/126.png,Training
4,imagesFer/127.png,Training
5,imagesFer/128.png,Training
2,imagesFer/129.png,Training
4,imagesFer/130.png,Training
2,imagesFer/131.png,Training
5,imagesFer/132.png,Training
3,imagesFer/133.png,Training
0,imagesFer/134.png,Training
6,imagesFer/135.png,Training
6,imagesFer/136.png,Training
2,imagesFer/137.png,Training
2,imagesFer/138.png,Training
3,imagesFer/139.png,Training
2,imagesFer/140.png,Training
3,imagesFer/141.png,Training
3,imagesFer/142.png,Training
3,imagesFer/143.png,Training
3,imagesFer/144.png,Training
3,imagesFer/145.png,Training
4,imagesFer/146.png,Training
2,imagesFer/147.png,Training
2,imagesFer/148.png,Training
0,imagesFer/149.png,Training
0,imagesFer/150.png,Training
2,imagesFer/151.png,Training
6,imagesFer/152.png,Training
3,imagesFer/153.png,Training
4,imagesFer/154.png,Training
5,imagesFer/155.png,Training
3,imagesFer/156.png,Training
0,imagesFer/157.png,Training
2,imagesFer/158.png,Training
4,imagesFer/159.png,Training
5,imagesFer/160.png,Training
2,imagesFer/161.png,Training
3,imagesFer/162.png,Training
4,imagesFer/163.png,Training
6,imagesFer/164.png,Training
3,imagesFer/165.png,Training
4,imagesFer/166.png,Training
3,imagesFer/167.png,Training
6,imagesFer/168.png,Training
0,imagesFer/169.png,Training
4,imagesFer/170.png,Training
4,imagesFer/171.png,Training
4,imagesFer/172.png,Training
2,imagesFer/173.png,Training
6,imagesFer/174.png,Training
5,imagesFer/175.png,Training
5,imagesFer/176.png,Training
6,imagesFer/177.png,Training
5,imagesFer/178.png,Training
2,imagesFer/179.png,Training
3,imagesFer/180.png,Training
2,imagesFer/181.png,Training
3,imagesFer/182.png,Training
4,imagesFer/183.png,Training
0,imagesFer/184.png,Training
2,imagesFer/185.png,Training
0,imagesFer/186.png,Training
3,imagesFer/187.png,Training
0,imagesFer/188.png,Training
2,imagesFer/189.png,Training
2,imagesFer/190.png,Training
5,imagesFer/191.png,Training
3,imagesFer/192.png,Training
5,imagesFer/193.png,Training
5,imagesFer/194.png,Training
4,imagesFer/195.png,Training
3,imagesFer/196.png,Training
0,imagesFer/197.png,Training
6,imagesFer/198.png,Training
5,imagesFer/199.png,Training
2,imagesFer/200.png,Training
6,imagesFer/201.png,Training
0,imagesFer/202.png,Training
0,imagesFer/203.png,Training
4,imagesFer/204.png,Training
5,imagesFer/205.png,Training
6,imagesFer/206.png,Training
3,imagesFer/207.png,Training
5,imagesFer/208.png,Training
5,imagesFer/209.png,Training
3,imagesFer/210.png,Training
2,imagesFer/211.png,Training
2,imagesFer/212.png,Training
3,imagesFer/213.png,Training
3,imagesFer/214.png,Training
3,imagesFer/215.png,Training
3,imagesFer/216.png,Training
6,imagesFer/217.png,Training
3,imagesFer/218.png,Training
6,imagesFer/219.png,Training
3,imagesFer/220.png,Training
0,imagesFer/221.png,Training
6,imagesFer/222.png,Training
3,imagesFer/223.png,Training
2,imagesFer/224.png,Training
0,imagesFer/225.png,Training
6,imagesFer/226.png,Training
5,imagesFer/227.png,Training
6,imagesFer/228.png,Training
0,imagesFer/229.png,Training
5,imagesFer/230.png,Training
4,imagesFer/231.png,Training
3,imagesFer/232.png,Training
0,imagesFer/233.png,Training
3,imagesFer/234.png,Training
0,imagesFer/235.png,Training
4,imagesFer/236.png,Training
5,imagesFer/237.png,Training
4,imagesFer/238.png,Training
3,imagesFer/239.png,Training
3,imagesFer/240.png,Training
0,imagesFer/241.png,Training
0,imagesFer/242.png,Training
6,imagesFer/243.png,Training
2,imagesFer/244.png,Training
0,imagesFer/245.png,Training
6,imagesFer/246.png,Training
3,imagesFer/247.png,Training
0,imagesFer/248.png,Training
0,imagesFer/249.png,Training
6,imagesFer/250.png,Training
0,imagesFer/251.png,Training
5,imagesFer/252.png,Training
6,imagesFer/253.png,Training
3,imagesFer/254.png,Training
2,imagesFer/255.png,Training
5,imagesFer/256.png,Training
5,imagesFer/257.png,Training
2,imagesFer/258.png,Training
0,imagesFer/259.png,Training
2,imagesFer/260.png,Training
6,imagesFer/261.png,Training
6,imagesFer/262.png,Training
0,imagesFer/263.png,Training
2,imagesFer/264.png,Training
3,imagesFer/265.png,Training
4,imagesFer/266.png,Training
2,imagesFer/267.png,Training
6,imagesFer/268.png,Training
5,imagesFer/269.png,Training
2,imagesFer/270.png,Training
2,imagesFer/271.png,Training
6,imagesFer/272.png,Training
6,imagesFer/273.png,Training
6,imagesFer/274.png,Training
2,imagesFer/275.png,Training
5,imagesFer/276.png,Training
3,imagesFer/277.png,Training
0,imagesFer/278.png,Training
5,imagesFer/279.png,Training
0,imagesFer/280.png,Training
4,imagesFer/281.png,Training
3,imagesFer/282.png,Training
3,imagesFer/283.png,Training
3,imagesFer/284.png,Training
3,imagesFer/285.png,Training
6,imagesFer/286.png,Training
3,imagesFer/287.png,Training
2,imagesFer/288.png,Training
4,imagesFer/289.png,Training
6,imagesFer/290.png,Training
3,imagesFer/291.png,Training
2,imagesFer/292.png,Training
4,imagesFer/293.png,Training
0,imagesFer/294.png,Training
0,imagesFer/295.png,Training
3,imagesFer/296.png,Training
2,imagesFer/297.png,Training
0,imagesFer/298.png,Training
1,imagesFer/299.png,Training
2,imagesFer/300.png,Training
2,imagesFer/301.png,Training
5,imagesFer/302.png,Training
3,imagesFer/303.png,Training
5,imagesFer/304.png,Training
4,imagesFer/305.png,Training
4,imagesFer/306.png,Training
0,imagesFer/307.png,Training
2,imagesFer/308.png,Training
3,imagesFer/309.png,Training
4,imagesFer/310.png,Training
6,imagesFer/311.png,Training
4,imagesFer/312.png,Training
2,imagesFer/313.png,Training
2,imagesFer/314.png,Training
3,imagesFer/315.png,Training
5,imagesFer/316.png,Training
4,imagesFer/317.png,Training
4,imagesFer/318.png,Training
5,imagesFer/319.png,Training
6,imagesFer/320.png,Training
4,imagesFer/321.png,Training
5,imagesFer/322.png,Training
0,imagesFer/323.png,Training
3,imagesFer/324.png,Training
3,imagesFer/325.png,Training
3,imagesFer/326.png,Training
2,imagesFer/327.png,Training
5,imagesFer/328.png,Training
5,imagesFer/329.png,Training
5,imagesFer/330.png,Training
3,imagesFer/331.png,Training
5,imagesFer/332.png,Training
3,imagesFer/333.png,Training
3,imagesFer/334.png,Training
3,imagesFer/335.png,Training
5,imagesFer/336.png,Training
6,imagesFer/337.png,Training
0,imagesFer/338.png,Training
4,imagesFer/339.png,Training
2,imagesFer/340.png,Training
2,imagesFer/341.png,Training
0,imagesFer/342.png,Training
4,imagesFer/343.png,Training
5,imagesFer/344.png,Training
5,imagesFer/345.png,Training
6,imagesFer/346.png,Training
6,imagesFer/347.png,Training
3,imagesFer/348.png,Training
2,imagesFer/349.png,Training
4,imagesFer/350.png,Training
2,imagesFer/351.png,Training
4,imagesFer/352.png,Training
0,imagesFer/353.png,Training
5,imagesFer/354.png,Training
0,imagesFer/355.png,Training
3,imagesFer/356.png,Training
5,imagesFer/357.png,Training
2,imagesFer/358.png,Training
4,imagesFer/359.png,Training
0,imagesFer/360.png,Training
4,imagesFer/361.png,Training
5,imagesFer/362.png,Training
6,imagesFer/363.png,Training
3,imagesFer/364.png,Training
2,imagesFer/365.png,Training
3,imagesFer/366.png,Training
5,imagesFer/367.png,Training
0,imagesFer/368.png,Training
0,imagesFer/369.png,Training
3,imagesFer/370.png,Training
3,imagesFer/371.png,Training
2,imagesFer/372.png,Training
6,imagesFer/373.png,Training
0,imagesFer/374.png,Training
2,imagesFer/375.png,Training
6,imagesFer/376.png,Training
0,imagesFer/377.png,Training
3,imagesFer/378.png,Training
2,imagesFer/379.png,Training
3,imagesFer/380.png,Training
2,imagesFer/381.png,Training
6,imagesFer/382.png,Training
4,imagesFer/383.png,Training
3,imagesFer/384.png,Training
4,imagesFer/385.png,Training
4,imagesFer/386.png,Training
0,imagesFer/387.png,Training
1,imagesFer/388.png,Training
2,imagesFer/389.png,Training
4,imagesFer/390.png,Training
6,imagesFer/391.png,Training
5,imagesFer/392.png,Training
0,imagesFer/393.png,Training
4,imagesFer/394.png,Training
6,imagesFer/395.png,Training
6,imagesFer/396.png,Training
6,imagesFer/397.png,Training
2,imagesFer/398.png,Training
6,imagesFer/399.png,Training
4,imagesFer/400.png,Training
3,imagesFer/401.png,Training
2,imagesFer/402.png,Training
4,imagesFer/403.png,Training
0,imagesFer/404.png,Training
6,imagesFer/405.png,Training
3,imagesFer/406.png,Training
2,imagesFer/407.png,Training
3,imagesFer/408.png,Training
0,imagesFer/409.png,Training
6,imagesFer/410.png,Training
5,imagesFer/411.png,Training
0,imagesFer/412.png,Training
5,imagesFer/413.png,Training
2,imagesFer/414.png,Training
6,imagesFer/415.png,Training
1,imagesFer/416.png,Training
3,imagesFer/417.png,Training
2,imagesFer/418.png,Training
6,imagesFer/419.png,Training
2,imagesFer/420.png,Training
0,imagesFer/421.png,Training
4,imagesFer/422.png,Training
6,imagesFer/423.png,Training
4,imagesFer/424.png,Training
5,imagesFer/425.png,Training
4,imagesFer/426.png,Training
4,imagesFer/427.png,Training
2,imagesFer/428.png,Training
0,imagesFer/429.png,Training
4,imagesFer/430.png,Training
0,imagesFer/431.png,Training
2,imagesFer/432.png,Training
0,imagesFer/433.png,Training
0,imagesFer/434.png,Training
5,imagesFer/435.png,Training
3,imagesFer/436.png,Training
3,imagesFer/437.png,Training
5,imagesFer/438.png,Training
3,imagesFer/439.png,Training
3,imagesFer/440.png,Training
4,imagesFer/441.png,Training
6,imagesFer/442.png,Training
5,imagesFer/443.png,Training
3,imagesFer/444.png,Training
3,imagesFer/445.png,Training
3,imagesFer/446.png,Training
4,imagesFer/447.png,Training
4,imagesFer/448.png,Training
6,imagesFer/449.png,Training
3,imagesFer/450.png,Training
4,imagesFer/451.png,Training
2,imagesFer/452.png,Training
3,imagesFer/453.png,Training
2,imagesFer/454.png,Training
2,imagesFer/455.png,Training
3,imagesFer/456.png,Training
4,imagesFer/457.png,Training
3,imagesFer/458.png,Training
6,imagesFer/459.png,Training
2,imagesFer/460.png,Training
6,imagesFer/461.png,Training
4,imagesFer/462.png,Training
3,imagesFer/463.png,Training
0,imagesFer/464.png,Training
3,imagesFer/465.png,Training
4,imagesFer/466.png,Training
6,imagesFer/467.png,Training
6,imagesFer/468.png,Training
0,imagesFer/469.png,Training
0,imagesFer/470.png,Training
5,imagesFer/471.png,Training
3,imagesFer/472.png,Training
1,imagesFer/473.png,Training
2,imagesFer/474.png,Training
4,imagesFer/475.png,Training
2,imagesFer/476.png,Training
2,imagesFer/477.png,Training
3,imagesFer/478.png,Training
2,imagesFer/479.png,Training
5,imagesFer/480.png,Training
0,imagesFer/481.png,Training
6,imagesFer/482.png,Training
2,imagesFer/483.png,Training
4,imagesFer/484.png,Training
3,imagesFer/485.png,Training
2,imagesFer/486.png,Training
3,imagesFer/487.png,Training
5,imagesFer/488.png,Training
0,imagesFer/489.png,Training
6,imagesFer/490.png,Training
6,imagesFer/491.png,Training
5,imagesFer/492.png,Training
6,imagesFer/493.png,Training
5,imagesFer/494.png,Training
3,imagesFer/495.png,Training
0,imagesFer/496.png,Training
5,imagesFer/497.png,Training
6,imagesFer/498.png,Training
0,imagesFer/499.png,Training
2,imagesFer/500.png,Training
6,imagesFer/501.png,Training
6,imagesFer/502.png,Training
6,imagesFer/503.png,Training
2,imagesFer/504.png,Training
4,imagesFer/505.png,Training
6,imagesFer/506.png,Training
2,imagesFer/507.png,Training
6,imagesFer/508.png,Training
0,imagesFer/509.png,Training
5,imagesFer/510.png,Training
3,imagesFer/511.png,Training
3,imagesFer/512.png,Training
4,imagesFer/513.png,Training
4,imagesFer/514.png,Training
0,imagesFer/515.png,Training
0,imagesFer/516.png,Training
2,imagesFer/517.png,Training
5,imagesFer/518.png,Training
0,imagesFer/519.png,Training
6,imagesFer/520.png,Training
0,imagesFer/521.png,Training
6,imagesFer/522.png,Training
5,imagesFer/523.png,Training
4,imagesFer/524.png,Training
0,imagesFer/525.png,Training
0,imagesFer/526.png,Training
3,imagesFer/527.png,Training
5,imagesFer/528.png,Training
5,imagesFer/529.png,Training
4,imagesFer/530.png,Training
3,imagesFer/531.png,Training
3,imagesFer/532.png,Training
1,imagesFer/533.png,Training
4,imagesFer/534.png,Training
6,imagesFer/535.png,Training
6,imagesFer/536.png,Training
3,imagesFer/537.png,Training
2,imagesFer/538.png,Training
3,imagesFer/539.png,Training
3,imagesFer/540.png,Training
6,imagesFer/541.png,Training
6,imagesFer/542.png,Training
4,imagesFer/543.png,Training
6,imagesFer/544.png,Training
0,imagesFer/545.png,Training
2,imagesFer/546.png,Training
6,imagesFer/547.png,Training
5,imagesFer/548.png,Training
4,imagesFer/549.png,Training
2,imagesFer/550.png,Training
6,imagesFer/551.png,Training
6,imagesFer/552.png,Training
3,imagesFer/553.png,Training
5,imagesFer/554.png,Training
6,imagesFer/555.png,Training
4,imagesFer/556.png,Training
6,imagesFer/557.png,Training
0,imagesFer/558.png,Training
4,imagesFer/559.png,Training
2,imagesFer/560.png,Training
3,imagesFer/561.png,Training
3,imagesFer/562.png,Training
0,imagesFer/563.png,Training
0,imagesFer/564.png,Training
6,imagesFer/565.png,Training
2,imagesFer/566.png,Training
6,imagesFer/567.png,Training
3,imagesFer/568.png,Training
3,imagesFer/569.png,Training
6,imagesFer/570.png,Training
5,imagesFer/571.png,Training
3,imagesFer/572.png,Training
1,imagesFer/573.png,Training
3,imagesFer/574.png,Training
2,imagesFer/575.png,Training
2,imagesFer/576.png,Training
4,imagesFer/577.png,Training
2,imagesFer/578.png,Training
2,imagesFer/579.png,Training
4,imagesFer/580.png,Training
0,imagesFer/581.png,Training
3,imagesFer/582.png,Training
5,imagesFer/583.png,Training
6,imagesFer/584.png,Training
3,imagesFer/585.png,Training
3,imagesFer/586.png,Training
2,imagesFer/587.png,Training
3,imagesFer/588.png,Training
0,imagesFer/589.png,Training
4,imagesFer/590.png,Training
2,imagesFer/591.png,Training
6,imagesFer/592.png,Training
2,imagesFer/593.png,Training
3,imagesFer/594.png,Training
5,imagesFer/595.png,Training
6,imagesFer/596.png,Training
2,imagesFer/597.png,Training
4,imagesFer/598.png,Training
2,imagesFer/599.png,Training
2,imagesFer/600.png,Training
6,imagesFer/601.png,Training
6,imagesFer/602.png,Training
4,imagesFer/603.png,Training
6,imagesFer/604.png,Training
6,imagesFer/605.png,Training
3,imagesFer/606.png,Training
4,imagesFer/607.png,Training
0,imagesFer/608.png,Training
3,imagesFer/609.png,Training
4,imagesFer/610.png,Training
4,imagesFer/611.png,Training
0,imagesFer/612.png,Training
3,imagesFer/613.png,Training
4,imagesFer/614.png,Training
6,imagesFer/615.png,Training
4,imagesFer/616.png,Training
0,imagesFer/617.png,Training
4,imagesFer/618.png,Training
6,imagesFer/619.png,Training
3,imagesFer/620.png,Training
5,imagesFer/621.png,Training
2,imagesFer/622.png,Training
3,imagesFer/623.png,Training
0,imagesFer/624.png,Training
0,imagesFer/625.png,Training
3,imagesFer/626.png,Training
6,imagesFer/627.png,Training
3,imagesFer/628.png,Training
3,imagesFer/629.png,Training
6,imagesFer/630.png,Training
4,imagesFer/631.png,Training
5,imagesFer/632.png,Training
0,imagesFer/633.png,Training
2,imagesFer/634.png,Training
3,imagesFer/635.png,Training
0,imagesFer/636.png,Training
3,imagesFer/637.png,Training
5,imagesFer/638.png,Training
3,imagesFer/639.png,Training
4,imagesFer/640.png,Training
3,imagesFer/641.png,Training
4,imagesFer/642.png,Training
6,imagesFer/643.png,Training
6,imagesFer/644.png,Training
3,imagesFer/645.png,Training
4,imagesFer/646.png,Training
5,imagesFer/647.png,Training
3,imagesFer/648.png,Training
6,imagesFer/649.png,Training
4,imagesFer/650.png,Training
6,imagesFer/651.png,Training
5,imagesFer/652.png,Training
3,imagesFer/653.png,Training
0,imagesFer/654.png,Training
3,imagesFer/655.png,Training
2,imagesFer/656.png,Training
3,imagesFer/657.png,Training
3,imagesFer/658.png,Training
3,imagesFer/659.png,Training
5,imagesFer/660.png,Training
5,imagesFer/661.png,Training
6,imagesFer/662.png,Training
2,imagesFer/663.png,Training
3,imagesFer/664.png,Training
0,imagesFer/665.png,Training
3,imagesFer/666.png,Training
3,imagesFer/667.png,Training
3,imagesFer/668.png,Training
2,imagesFer/669.png,Training
5,imagesFer/670.png,Training
0,imagesFer/671.png,Training
6,imagesFer/672.png,Training
6,imagesFer/673.png,Training
3,imagesFer/674.png,Training
5,imagesFer/675.png,Training
0,imagesFer/676.png,Training
0,imagesFer/677.png,Training
3,imagesFer/678.png,Training
6,imagesFer/679.png,Training
4,imagesFer/680.png,Training
3,imagesFer/681.png,Training
3,imagesFer/682.png,Training
5,imagesFer/683.png,Training
3,imagesFer/684.png,Training
3,imagesFer/685.png,Training
5,imagesFer/686.png,Training
3,imagesFer/687.png,Training
4,imagesFer/688.png,Training
2,imagesFer/689.png,Training
3,imagesFer/690.png,Training
3,imagesFer/691.png,Training
5,imagesFer/692.png,Training
3,imagesFer/693.png,Training
6,imagesFer/694.png,Training
5,imagesFer/695.png,Training
4,imagesFer/696.png,Training
4,imagesFer/697.png,Training
5,imagesFer/698.png,Training
6,imagesFer/699.png,Training
0,imagesFer/700.png,Training
2,imagesFer/701.png,Training
2,imagesFer/702.png,Training
4,imagesFer/703.png,Training
0,imagesFer/704.png,Training
6,imagesFer/705.png,Training
3,imagesFer/706.png,Training
2,imagesFer/707.png,Training
5,imagesFer/708.png,Training
2,imagesFer/709.png,Training
2,imagesFer/710.png,Training
4,imagesFer/711.png,Training
2,imagesFer/712.png,Training
3,imagesFer/713.png,Training
0,imagesFer/714.png,Training
6,imagesFer/715.png,Training
0,imagesFer/716.png,Training
6,imagesFer/717.png,Training
2,imagesFer/718.png,Training
5,imagesFer/719.png,Training
3,imagesFer/720.png,Training
3,imagesFer/721.png,Training
3,imagesFer/722.png,Training
2,imagesFer/723.png,Training
3,imagesFer/724.png,Training
6,imagesFer/725.png,Training
5,imagesFer/726.png,Training
0,imagesFer/727.png,Training
3,imagesFer/728.png,Training
2,imagesFer/729.png,Training
4,imagesFer/730.png,Training
2,imagesFer/731.png,Training
6,imagesFer/732.png,Training
4,imagesFer/733.png,Training
3,imagesFer/734.png,Training
4,imagesFer/735.png,Training
3,imagesFer/736.png,Training
3,imagesFer/737.png,Training
3,imagesFer/738.png,Training
2,imagesFer/739.png,Training
0,imagesFer/740.png,Training
2,imagesFer/741.png,Training
5,imagesFer/742.png,Training
0,imagesFer/743.png,Training
2,imagesFer/744.png,Training
2,imagesFer/745.png,Training
2,imagesFer/746.png,Training
6,imagesFer/747.png,Training
2,imagesFer/748.png,Training
4,imagesFer/749.png,Training
5,imagesFer/750.png,Training
5,imagesFer/751.png,Training
4,imagesFer/752.png,Training
4,imagesFer/753.png,Training
4,imagesFer/754.png,Training
2,imagesFer/755.png,Training
0,imagesFer/756.png,Training
6,imagesFer/757.png,Training
1,imagesFer/758.png,Training
5,imagesFer/759.png,Training
3,imagesFer/760.png,Training
4,imagesFer/761.png,Training
6,imagesFer/762.png,Training
5,imagesFer/763.png,Training
0,imagesFer/764.png,Training
0,imagesFer/765.png,Training
6,imagesFer/766.png,Training
6,imagesFer/767.png,Training
2,imagesFer/768.png,Training
2,imagesFer/769.png,Training
4,imagesFer/770.png,Training
5,imagesFer/771.png,Training
6,imagesFer/772.png,Training
2,imagesFer/773.png,Training
3,imagesFer/774.png,Training
3,imagesFer/775.png,Training
4,imagesFer/776.png,Training
5,imagesFer/777.png,Training
0,imagesFer/778.png,Training
4,imagesFer/779.png,Training
3,imagesFer/780.png,Training
6,imagesFer/781.png,Training
4,imagesFer/782.png,Training
5,imagesFer/783.png,Training
5,imagesFer/784.png,Training
6,imagesFer/785.png,Training
3,imagesFer/786.png,Training
6,imagesFer/787.png,Training
5,imagesFer/788.png,Training
5,imagesFer/789.png,Training
0,imagesFer/790.png,Training
3,imagesFer/791.png,Training
3,imagesFer/792.png,Training
6,imagesFer/793.png,Training
2,imagesFer/794.png,Training
6,imagesFer/795.png,Training
5,imagesFer/796.png,Training
0,imagesFer/797.png,Training
4,imagesFer/798.png,Training
2,imagesFer/799.png,Training
4,imagesFer/800.png,Training
6,imagesFer/801.png,Training
3,imagesFer/802.png,Training
3,imagesFer/803.png,Training
2,imagesFer/804.png,Training
4,imagesFer/805.png,Training
2,imagesFer/806.png,Training
1,imagesFer/807.png,Training
4,imagesFer/808.png,Training
3,imagesFer/809.png,Training
3,imagesFer/810.png,Training
2,imagesFer/811.png,Training
4,imagesFer/812.png,Training
3,imagesFer/813.png,Training
5,imagesFer/814.png,Training
2,imagesFer/815.png,Training
0,imagesFer/816.png,Training
3,imagesFer/817.png,Training
4,imagesFer/818.png,Training
5,imagesFer/819.png,Training
3,imagesFer/820.png,Training
3,imagesFer/821.png,Training
4,imagesFer/822.png,Training
0,imagesFer/823.png,Training
0,imagesFer/824.png,Training
2,imagesFer/825.png,Training
1,imagesFer/826.png,Training
3,imagesFer/827.png,Training
4,imagesFer/828.png,Training
3,imagesFer/829.png,Training
3,imagesFer/830.png,Training
4,imagesFer/831.png,Training
6,imagesFer/832.png,Training
2,imagesFer/833.png,Training
0,imagesFer/834.png,Training
0,imagesFer/835.png,Training
2,imagesFer/836.png,Training
5,imagesFer/837.png,Training
6,imagesFer/838.png,Training
4,imagesFer/839.png,Training
3,imagesFer/840.png,Training
6,imagesFer/841.png,Training
0,imagesFer/842.png,Training
5,imagesFer/843.png,Training
4,imagesFer/844.png,Training
1,imagesFer/845.png,Training
2,imagesFer/846.png,Training
2,imagesFer/847.png,Training
5,imagesFer/848.png,Training
3,imagesFer/849.png,Training
0,imagesFer/850.png,Training
0,imagesFer/851.png,Training
6,imagesFer/852.png,Training
5,imagesFer/853.png,Training
0,imagesFer/854.png,Training
6,imagesFer/855.png,Training
3,imagesFer/856.png,Training
5,imagesFer/857.png,Training
6,imagesFer/858.png,Training
2,imagesFer/859.png,Training
0,imagesFer/860.png,Training
0,imagesFer/861.png,Training
2,imagesFer/862.png,Training
3,imagesFer/863.png,Training
1,imagesFer/864.png,Training
5,imagesFer/865.png,Training
4,imagesFer/866.png,Training
5,imagesFer/867.png,Training
5,imagesFer/868.png,Training
2,imagesFer/869.png,Training
3,imagesFer/870.png,Training
2,imagesFer/871.png,Training
2,imagesFer/872.png,Training
3,imagesFer/873.png,Training
6,imagesFer/874.png,Training
6,imagesFer/875.png,Training
0,imagesFer/876.png,Training
6,imagesFer/877.png,Training
4,imagesFer/878.png,Training
0,imagesFer/879.png,Training
3,imagesFer/880.png,Training
0,imagesFer/881.png,Training
4,imagesFer/882.png,Training
0,imagesFer/883.png,Training
6,imagesFer/884.png,Training
6,imagesFer/885.png,Training
2,imagesFer/886.png,Training
3,imagesFer/887.png,Training
5,imagesFer/888.png,Training
4,imagesFer/889.png,Training
2,imagesFer/890.png,Training
6,imagesFer/891.png,Training
3,imagesFer/892.png,Training
5,imagesFer/893.png,Training
5,imagesFer/894.png,Training
3,imagesFer/895.png,Training
2,imagesFer/896.png,Training
3,imagesFer/897.png,Training
3,imagesFer/898.png,Training
4,imagesFer/899.png,Training
0,imagesFer/900.png,Training
6,imagesFer/901.png,Training
4,imagesFer/902.png,Training
4,imagesFer/903.png,Training
2,imagesFer/904.png,Training
6,imagesFer/905.png,Training
3,imagesFer/906.png,Training
2,imagesFer/907.png,Training
0,imagesFer/908.png,Training
5,imagesFer/909.png,Training
4,imagesFer/910.png,Training
2,imagesFer/911.png,Training
6,imagesFer/912.png,Training
6,imagesFer/913.png,Training
2,imagesFer/914.png,Training
3,imagesFer/915.png,Training
6,imagesFer/916.png,Training
6,imagesFer/917.png,Training
4,imagesFer/918.png,Training
6,imagesFer/919.png,Training
2,imagesFer/920.png,Training
3,imagesFer/921.png,Training
4,imagesFer/922.png,Training
0,imagesFer/923.png,Training
2,imagesFer/924.png,Training
6,imagesFer/925.png,Training
3,imagesFer/926.png,Training
4,imagesFer/927.png,Training
0,imagesFer/928.png,Training
4,imagesFer/929.png,Training
6,imagesFer/930.png,Training
